"sample","taxID","taxName","reads","taxReads","kmers","dup","coverage","percent","confidence","passes_filter"
"LS24-009",173,"Leptospira interrogans",433,264,35146,1.19,0.003346,20.02,"HIGH_CONFIDENCE",TRUE
"LS24-009",28182,"Leptospira noguchii",1,0,52,1.1,7.72e-06,0.04623,"NOT_DETECTED",FALSE
"LS24-010",173,"Leptospira interrogans",864,533,66466,1.2,0.006327,15.95,"HIGH_CONFIDENCE",TRUE
"LS24-010",28182,"Leptospira noguchii",2,2,68,1.13,1.01e-05,0.03692,"DETECTED_LOW_CONFIDENCE",FALSE
"LS24-015",173,"Leptospira interrogans",32,27,3677,1.05,0.00035,1.451,"HIGH_CONFIDENCE",TRUE
"LS24-025",173,"Leptospira interrogans",1,0,11,1,1.047e-06,0.03587,"NOT_DETECTED",FALSE
"LS24-039",173,"Leptospira interrogans",18,11,1145,1.26,0.000109,1.594,"HIGH_CONFIDENCE",TRUE
"LS24-094",173,"Leptospira interrogans",1,1,73,1,6.949e-06,0.04606,"DETECTED_LOW_CONFIDENCE",FALSE
"LS24-098",173,"Leptospira interrogans",2250,2122,209526,1.16,0.01995,65.29,"HIGH_CONFIDENCE",TRUE
"LS24-098",28182,"Leptospira noguchii",5,4,261,1.13,3.875e-05,0.1451,"DETECTED_LOW_CONFIDENCE",FALSE
"LS24-098",29507,"Leptospira kirschneri",3,3,203,1.09,5.024e-05,0.08706,"DETECTED_LOW_CONFIDENCE",FALSE
"LS24-098",174,"Leptospira borgpetersenii",1,1,22,1,4.377e-06,0.02902,"DETECTED_LOW_CONFIDENCE",FALSE
"LS24-098",2564040,"Leptospira tipperaryensis",1,0,28,1,6.626e-06,0.02902,"NOT_DETECTED",FALSE
"LS24-099",173,"Leptospira interrogans",92,85,9283,1.1,0.0008837,7.221,"HIGH_CONFIDENCE",TRUE
"LS24-099",29507,"Leptospira kirschneri",1,0,188,1,4.653e-05,0.07849,"NOT_DETECTED",FALSE
"LS24-102",173,"Leptospira interrogans",2,1,187,1.1,1.78e-05,0.082,"DETECTED_LOW_CONFIDENCE",FALSE
"LS24-102",174,"Leptospira borgpetersenii",1,1,49,1.55,9.748e-06,0.041,"DETECTED_LOW_CONFIDENCE",FALSE
"LS24-104",173,"Leptospira interrogans",204,179,17603,1.16,0.001676,8.073,"HIGH_CONFIDENCE",TRUE
"LS24-104",29507,"Leptospira kirschneri",27,14,2314,1.12,0.0005727,1.068,"HIGH_CONFIDENCE",TRUE
"LS24-104",174,"Leptospira borgpetersenii",14,14,1165,1.25,0.0002318,0.554,"HIGH_CONFIDENCE",TRUE
"LS24-104",28182,"Leptospira noguchii",2,2,54,1.15,8.017e-06,0.07915,"DETECTED_LOW_CONFIDENCE",FALSE
"LS24-104",172,"Leptospira biflexa",5,0,107,1.2,2.972e-05,0.1979,"NOT_DETECTED",FALSE
"LS24-104",3235173,"Leptospira cinconiae",2,0,3,1.67,7.719e-07,0.07915,"NOT_DETECTED",FALSE
"LS24-104",408139,"Leptospira kmetyi",1,0,9,1,2.234e-06,0.03957,"NOT_DETECTED",FALSE
"LS24-104",3387407,"Leptospira sp. 'Mane'",1,0,2,1,5.361e-07,0.03957,"NOT_DETECTED",FALSE
"LS24-109",173,"Leptospira interrogans",71,36,7434,1.03,0.0007077,6.685,"HIGH_CONFIDENCE",TRUE
"LS24-110",173,"Leptospira interrogans",113,102,11392,1.1,0.001084,12.64,"HIGH_CONFIDENCE",TRUE
"LS24-110",28184,"Leptospira weilii",1,1,12,1,2.661e-06,0.1119,"DETECTED_LOW_CONFIDENCE",FALSE
"LS24-115",173,"Leptospira interrogans",642,612,45365,1.25,0.004319,20.63,"HIGH_CONFIDENCE",TRUE
"LS24-115",28182,"Leptospira noguchii",1,0,50,1.02,7.423e-06,0.03213,"NOT_DETECTED",FALSE
