"sample","plot_taxon","taxReads","kmers","is_leptospira","total_nonhost_taxReads","Percent"
"LS24-009","Cutibacterium acnes",12,1290,FALSE,276,4.34782608695652
"LS24-009","Leptospira interrogans",264,35146,TRUE,276,95.6521739130435
"LS24-010","Acinetobacter ursingii",140,28265,FALSE,798,17.5438596491228
"LS24-010","Cutibacterium acnes",10,1095,FALSE,798,1.2531328320802
"LS24-010","Leptospira interrogans",533,66466,TRUE,798,66.7919799498747
"LS24-010","Myroides odoratimimus",115,8839,FALSE,798,14.4110275689223
"LS24-013","Cutibacterium acnes",55,4952,FALSE,73,75.3424657534247
"LS24-013","Cutibacterium modestum",18,1351,FALSE,73,24.6575342465753
"LS24-015","Leptospira interrogans",27,3677,TRUE,27,100
"LS24-017","Cutibacterium acnes",11,1439,FALSE,11,100
"LS24-039","Leptospira interrogans",11,1145,TRUE,11,100
"LS24-094","Stutzerimonas stutzeri",12,1503,FALSE,12,100
"LS24-098","Leptospira interrogans",2122,209526,TRUE,2122,100
"LS24-099","Enterobacter hormaechei",92,3245,FALSE,209,44.0191387559809
"LS24-099","Enterococcus faecalis",32,1920,FALSE,209,15.311004784689
"LS24-099","Leptospira interrogans",85,9283,TRUE,209,40.6698564593301
"LS24-102","Acinetobacter haemolyticus",18,1229,FALSE,18,100
"LS24-104","Leptospira borgpetersenii",14,1165,TRUE,235,5.95744680851064
"LS24-104","Leptospira interrogans",179,17603,TRUE,235,76.1702127659574
"LS24-104","Leptospira kirschneri",14,2314,TRUE,235,5.95744680851064
"LS24-104","Methylorubrum populi",28,5920,FALSE,235,11.9148936170213
"LS24-109","Leptospira interrogans",36,7434,TRUE,36,100
"LS24-110","Leptospira interrogans",102,11392,TRUE,102,100
"LS24-115","Leptospira interrogans",612,45365,TRUE,612,100
